case_id,source_url,source_tier,retrieved_at,jurisdiction,producer_or_brand,laboratory,product_name,product_type,batch_or_lot_id,sample_id,overall_status,coa_date,primary_unit_types,has_cannabinoids,has_terpenes,has_microbials,has_pesticides,has_heavy_metals,has_residual_solvents,has_mycotoxins,has_moisture,has_water_activity,has_foreign_material,has_regulatory_tracking,has_sample_lifecycle,uses_nd,uses_below_limit,uses_not_tested,uses_not_reported,uses_multi_unit,contains_numeric_contaminant_detection,contains_failure,mapping_result,notes
COA-001,https://github.com/weeddaoresearch/weeddao-standard/blob/main/docs/review-cases/coa-001.md,seed/grower-supplied,2026-09-18T17:10:32Z,New Mexico,Desert Green Farm,external-lab-001,Cherry Lemon cured flower,flower,review-batch-001,DGF-001,,,mg/g|%,True,True,True,True,False,True,False,True,False,True,True,True,False,True,True,False,True,False,False,PARTIAL,Seed hand-reviewed case
COA-002,https://github.com/weeddaoresearch/weeddao-standard/blob/main/docs/review-cases/coa-002.md,seed/user-supplied,2026-09-18T17:10:32Z,Texas,Texas Original,external-lab-002,0:1 SLH Medical Vaporization Oil 0.5g,vape,11003107150285,,,,%|mg/g|mg/unit,True,True,True,True,True,True,False,False,False,True,False,False,True,True,False,False,True,False,False,PARTIAL,Seed hand-reviewed case
COA-003,https://github.com/weeddaoresearch/weeddao-standard/blob/main/docs/review-cases/coa-003.md,seed/user-supplied,2026-09-18T17:10:32Z,Texas,Texas Original,external-lab-002,0:1 OGK Distillate Syringe 0.5g,concentrate/extract,0,,,,%|mg/g|mg/unit,True,True,True,True,True,True,False,False,False,True,False,False,True,True,False,False,True,False,False,PARTIAL,Seed hand-reviewed case
COA-004,https://lims.tagleaf.com/coas/mvNRWkKW4rQYmWwILGbPjyccs7bpAxo40BtuNnr10gczL3ziBH,primary,2026-09-18T17:10:32Z,Missouri,Show-Me GP,Green Precision Analytics,Alien Mintz live badder,concentrate,VLB00496,GPA-260904-131,Pass,,%|mg/g|mg/serving|µg/g,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-005,https://lims.tagleaf.com/coas/Mv8MES2bh5EKgnnCsIRaEZx6pfJ2Fon4SrCLRNlS7S5EeQ7zVS,primary,2026-09-18T17:10:32Z,Missouri,Show-Me GP,Green Precision Analytics,Alien Mintz 1g liquid diamond vape,vape,VRV007,GPA-260828-181,Pass,,%|mg/g|mg/serving|µg/g,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-006,https://lims.tagleaf.com/coas/65g9zPrPaiX6Ip1xBKbZ8vsqAYQ8jPCItzcCFyn0B1SUvT11Qz,primary,2026-09-18T17:10:32Z,Missouri,Show-Me GP,Green Precision Analytics,Grease Monkey 1g hash rosin vape,vape,LDV0046,GPA-260828-183,Pass,,%|mg/g|mg/serving|µg/g,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-007,https://lims.tagleaf.com/coas/1WuUqdWtdfQKHv3vYPxBbUIzyyyFUyqUv4VkXXMoE15eFjbgJN,primary,2026-09-18T17:10:32Z,Missouri,Show-Me GP,Green Precision Analytics,Acai Mints flower,flower,ACMS_B150_AB,GPA-260821-250,Pass,,%|mg/g|mg/serving|µg/g,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-008,https://lims.tagleaf.com/coas/nIAz8Klwf37T9PsabrZsdjpIk9YPR8l1RCBVBAdD90CxTrCWGu,primary,2026-09-18T17:10:32Z,Missouri,Show-Me GP,Green Precision Analytics,Dulce de Uva + Florida Kush Moon Walker infused pre-roll,infused pre-roll,VMW017,GPA-260821-238,Pass,,%|mg/g|mg/serving|µg/g,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-009,https://lims.tagleaf.com/coas/2VdWAKQUsTBz4X30PrsFYDCFdRyQFWhF6yKjLBkxahVbcA8ndP,primary,2026-09-18T17:10:32Z,Missouri,Show-Me GP,Green Precision Analytics,Rainbow Guava all-in-one hash rosin vape,vape,VRV006,GPA-260814-199,Pass,,%|mg/g|mg/serving|µg/g,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-010,https://lims.tagleaf.com/coas/JXhrY809IwFikjBTwbscJCYxCNnXy26eGeuvbRZ9ywa9FvaxYA,primary,2026-09-18T17:10:32Z,Missouri,Show-Me GP,Green Precision Analytics,Fruit Gusherz FECO,concentrate/extract,FCO0105,GPA-260811-049,Pass,,%|mg/g|mg/serving|µg/g,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-011,https://lims.tagleaf.com/coas/5smYTurLZHt8K5x3ba1649Y81otiT2MubauBuMxslF7ubhR6XS,primary,2026-09-18T17:10:32Z,Missouri,Show-Me GP,Green Precision Analytics,Strawnana all-in-one hash rosin vape,vape,HRV0005,GPA-260807-238,Pass,,%|mg/g|mg/serving|µg/g,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
COA-012,https://www.gramsbk.com/coa/COA-SNYTCO0903PFCU0030488-GramsCoolRanchMintzHybridFlower28g-TCRFCRM901-002.pdf,primary,2026-09-18T17:10:32Z,New York,Grams Brooklyn,ACT Laboratories (NY),Cool Ranch Mintz Hybrid Flower 28g,flower,TCR-F-CRM-901,SNYTCO0903-PFCU-0030488,,,%|mg/g|mg/unit|CFU/g|µg/g|ng/g,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,False,PARTIAL,Interoperability metadata extracted from the public source; full numeric analyte mapping remains for the schema-validation batch step.
